level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1327	1769	-1	
2	1	1	0	0	0	148	32	501	68	-1	
3	1	1	1	0	0	148	32	501	68	-1	
4	1	1	1	1	0	148	32	501	68	-1	
5	1	1	1	1	1	148	32	501	68	0.000000	SRSASSSASSERERRR
2	1	2	0	0	0	656	28	115	47	-1	
3	1	2	1	0	0	656	28	115	47	-1	
4	1	2	1	1	0	656	28	115	47	-1	
5	1	2	1	1	1	656	28	115	47	64.937874	6488
2	1	3	0	0	0	653	69	122	23	-1	
3	1	3	1	0	0	653	69	122	23	-1	
4	1	3	1	1	0	653	69	122	23	-1	
5	1	3	1	1	1	653	69	122	23	22.020012	NADI
2	1	4	0	0	0	778	29	432	64	-1	
3	1	4	1	0	0	778	29	432	64	-1	
4	1	4	1	1	0	778	29	432	64	-1	
5	1	4	1	1	1	778	29	432	64	0.000000	DERBARESERALER
2	1	5	0	0	0	203	138	956	52	-1	
3	1	5	1	0	0	203	138	956	52	-1	
4	1	5	1	1	0	203	138	956	52	-1	
5	1	5	1	1	1	203	140	695	50	89.630142	WUNAUNCHEMOOKAONK
5	1	5	1	1	2	953	138	206	42	89.529350	NASHPE
2	1	6	0	0	0	352	223	658	63	-1	
3	1	6	1	0	0	352	223	658	63	-1	
4	1	6	1	1	0	352	223	658	63	-1	
5	1	6	1	1	1	352	223	658	63	90.719551	MATTHE
5	1	6	1	1	2	856	219	159	86	75.042099	VV:
2	1	7	0	0	0	155	327	531	1107	-1	
3	1	7	1	0	0	323	327	349	132	-1	
4	1	7	1	1	0	323	327	175	23	-1	
5	1	7	1	1	1	323	327	121	23	90.403366	CHAP.
5	1	7	1	1	2	478	327	20	19	95.486031	I.
4	1	7	1	2	0	324	351	347	30	-1	
5	1	7	1	2	1	324	356	188	25	87.919479	Ppometuongane
5	1	7	1	2	2	529	360	11	13	65.457100	4
5	1	7	1	2	3	553	347	46	38	93.138603	book
5	1	7	1	2	4	611	351	60	28	88.636551	Jefus
4	1	7	1	3	0	335	407	337	28	-1	
5	1	7	1	3	1	335	409	52	26	92.153671	vid,
5	1	7	1	3	2	415	411	168	18	21.277313	wunnaumonun
5	1	7	1	3	3	603	407	69	22	56.152985	Abra-
4	1	7	1	4	0	335	438	56	21	-1	
5	1	7	1	4	1	335	438	56	21	81.688942	ham.
3	1	7	2	0	0	257	462	418	85	-1	
4	1	7	2	1	0	363	462	311	24	-1	
5	1	7	2	1	1	363	463	39	23	58.998833	24
5	1	7	2	1	2	415	462	106	22	85.030083	Abrabam
5	1	7	2	1	3	540	468	134	16	29.759987	wunnaumo-
4	1	7	2	2	0	257	488	416	34	-1	
5	1	7	2	2	1	257	488	28	34	33.251495	AS
5	1	7	2	2	2	336	492	50	23	76.272995	nicu
5	1	7	2	2	3	395	489	211	28	0.000000	Iaakoh,kah<
5	1	7	2	2	4	553	482	52	44	0.000000	Ifaak
5	1	7	2	2	5	615	496	58	15	91.507591	wun-
4	1	7	2	3	0	338	515	337	32	-1	
5	1	7	2	3	1	338	520	124	23	39.189247	naumoni¢eu
5	1	7	2	3	2	467	517	146	30	49.324055	Jakobub,kah
5	1	7	2	3	3	620	518	11	21	29.299385	¢
5	1	7	2	3	4	636	515	39	30	63.798386	Ja-
3	1	7	3	0	0	158	546	516	30	-1	
4	1	7	3	1	0	158	546	516	30	-1	
5	1	7	3	1	1	158	553	43	23	91.154037	kob
5	1	7	3	1	2	207	549	176	25	73.682083	wunnaumonieu
5	1	7	3	1	3	390	546	104	29	70.458832	Judaioli,
5	1	7	3	1	4	503	546	38	21	92.247383	kah
5	1	7	3	1	5	551	547	123	20	71.943962	weematoh.
3	1	7	4	0	0	160	571	515	117	-1	
4	1	7	4	1	0	188	571	486	37	-1	
5	1	7	4	1	1	188	586	12	22	95.730011	3
5	1	7	4	1	2	221	579	45	22	67.236519	Kah
5	1	7	4	1	3	279	586	11	14	67.236519	¢
5	1	7	4	1	4	302	576	66	28	92.975739	Judas
5	1	7	4	1	5	385	574	175	23	31.098625	wunnaumonien
5	1	7	4	1	6	571	573	41	22	11.354691	Pha:
5	1	7	4	1	7	626	571	48	23	46.646099	.foh
4	1	7	4	2	0	160	599	515	32	-1	
5	1	7	4	2	1	160	610	39	21	87.137070	kah
5	1	7	4	2	2	206	606	91	24	44.547173	Zarghoh
5	1	7	4	2	3	304	604	75	22	91.826347	wutch
5	1	7	4	2	4	385	602	125	25	2.990349	Tamarlut,
5	1	7	4	2	5	528	599	38	24	87.968605	kah
5	1	7	4	2	6	575	600	14	27	81.083954	f
5	1	7	4	2	7	599	599	76	23	96.559334	Phares
4	1	7	4	3	0	162	629	512	30	-1	
5	1	7	4	3	1	162	633	174	26	35.472466	wunsaumenien
5	1	7	4	3	2	344	631	113	26	83.118347	Ezromoh,
5	1	7	4	3	3	474	629	40	23	91.955170	kab
5	1	7	4	3	4	529	630	77	21	91.727890	Ezrom
5	1	7	4	3	5	616	634	58	22	75.471245	wun-
4	1	7	4	4	0	163	659	445	29	-1	
5	1	7	4	4	1	163	663	126	25	42.768623	naumonicu
5	1	7	4	4	2	295	660	99	23	81.026115	Aramoh,
5	1	7	4	4	3	603	659	5	1	5.537689	‘
3	1	7	5	0	0	160	684	515	87	-1	
4	1	7	5	1	0	190	684	484	34	-1	
5	1	7	5	1	1	190	699	13	19	74.520340	4
5	1	7	5	1	2	215	691	43	23	96.328651	Kah
5	1	7	5	1	3	266	691	63	21	92.946533	Aram
5	1	7	5	1	4	338	684	173	26	82.460861	wannaumonieu
5	1	7	5	1	5	519	684	155	29	93.130875	Aminadaboh,
4	1	7	5	2	0	162	712	513	31	-1	
5	1	7	5	2	1	162	720	40	23	86.752716	kah
5	1	7	5	2	2	225	716	116	25	46.180763	Amindadab
5	1	7	5	2	3	358	712	175	25	30.943993	wunnaumonieu
5	1	7	5	2	4	550	713	125	27	44.785362	Naaifonoh,
4	1	7	5	3	0	160	740	450	31	-1	
5	1	7	5	3	1	160	748	39	23	92.508743	kah
5	1	7	5	3	2	207	745	88	24	21.250717	Naatfon
5	1	7	5	3	3	302	741	177	26	77.575043	wunnaumonieu
5	1	7	5	3	4	488	740	122	22	37.994846	Salmonoh.
3	1	7	6	0	0	160	767	516	140	-1	
4	1	7	6	1	0	187	767	489	36	-1	
5	1	7	6	1	1	187	781	11	22	88.374825	5
